iterations,values
500,[0.40974639 0.32499101 0.30018213 0.32019677 0.35445067 0. 0.05805621 0.         0.73289171 0.6931917  0.69786698 0. 0.         0.91256669 0.98331669 0.        ]
1000,[0.15466752 0.10061684 0.10608324 0.08908553 0.12649293 0. 0.08359664 0.         0.1264897  0.12095257 0.07288525 0. 0.         0.62352582 0.64302691 0.        ]
1500,[0.13880338 0.38443875 0.12806615 0.00803143 0.09689325 0. 0.00100918 0.         0.31719428 0.42078236 0.15689907 0. 0.         0.13711316 0.91246027 0.        ]
2000,[0.18252466 0.06203623 0.05111074 0.03530893 0.3699575  0. 0.00104669 0.         0.65906456 0.18463417 0.02813333 0. 0.         0.86299023 0.98993677 0.        ]
2500,[0.05522192 0.5972435  0.13803846 0.01606223 0.15071934 0. 0.07825284 0.         0.27273343 0.87409294 0.76247965 0. 0.         0.68951423 0.50245685 0.        ]
3000,[0.26071276 0.18446469 0.06699944 0.01638637 0.45313729 0. 0.00439958 0.         0.67225962 0.2076957  0.06921176 0. 0.         0.83768932 0.99980859 0.        ]
3500,[0.06296722 0.05985434 0.05883356 0.10328139 0.06040187 0. 0.0508403  0.         0.11549478 0.36188634 0.64921827 0. 0.         0.33451321 0.98389965 0.        ]
4000,[0.23388524 0.02463459 0.03084666 0.01504532 0.53682572 0. 0.06816674 0.         0.60505393 0.77927847 0.83686425 0. 0.         0.91912119 0.99969492 0.        ]
4500,[2.22041109e-02 9.00776582e-03 5.27876409e-03 4.97371818e-03 3.38439927e-02 0.00000000e+00 4.09747677e-05 0.00000000e+00 3.94515343e-02 4.05892241e-01 4.70246901e-02 0.00000000e+00 0.00000000e+00 2.95896059e-01 9.62099614e-01 0.00000000e+00]
5000,[0.04263832 0.04751595 0.04924462 0.02137249 0.0516998  0. 0.05804975 0.         0.13577888 0.11407047 0.77275406 0. 0.         0.71898408 0.98577909 0.        ]
5500,[4.01253162e-01 3.53506079e-01 6.68365031e-03 3.74923217e-03 4.98364572e-01 0.00000000e+00 6.77033422e-04 0.00000000e+00 1.48624971e-01 9.78558007e-02 7.64842974e-01 0.00000000e+00 0.00000000e+00 7.17235879e-01 9.85105786e-01 0.00000000e+00]
6000,[0.3145737  0.04628196 0.01061074 0.00571168 0.26603391 0. 0.0744114  0.         0.11812219 0.07560804 0.00855287 0. 0.         0.6368455  0.98083695 0.        ]
6500,[5.81178966e-02 3.82100320e-02 5.55076806e-03 5.35143055e-03 4.87815150e-02 0.00000000e+00 1.37767195e-05 0.00000000e+00 1.56930877e-02 7.00108537e-03 1.52228137e-04 0.00000000e+00 0.00000000e+00 5.23145452e-01 9.68637365e-01 0.00000000e+00]
7000,[0.07809811 0.10804493 0.2614992  0.05913294 0.40656362 0. 0.02088009 0.         0.21073529 0.74011105 0.86560924 0. 0.         0.92500771 0.99393904 0.        ]
7500,[0.05922918 0.05368173 0.05283703 0.02789357 0.51843625 0. 0.002401   0.         0.54966401 0.15364461 0.0317621  0. 0.         0.90634116 0.99028276 0.        ]
8000,[0.33432041 0.22193868 0.20714786 0.02780008 0.498441   0. 0.0895002  0.         0.58429835 0.84671267 0.93062157 0. 0.         0.93872134 0.9907836  0.        ]
8500,[0.16145797 0.04546257 0.00575046 0.00282244 0.07818556 0. 0.01316493 0.         0.10204432 0.63731876 0.05141702 0. 0.         0.18932005 0.91436704 0.        ]
9000,[4.30495799e-01 4.31073989e-02 3.55017671e-02 6.36912078e-03 4.18003717e-01 0.00000000e+00 7.73235847e-04 0.00000000e+00 4.63257636e-01 7.44418647e-01 2.46875038e-02 0.00000000e+00 0.00000000e+00 9.26658479e-01 9.98869325e-01 0.00000000e+00]
9500,[0.00337396 0.00266226 0.0043881  0.00508931 0.00216528 0. 0.01454954 0.         0.00144688 0.26052651 0.14135928 0. 0.         0.04792376 0.10721515 0.        ]
10000,[1.59491578e-01 6.75168945e-02 2.52830373e-02 8.69267674e-03 2.98216466e-01 0.00000000e+00 3.82198566e-04 0.00000000e+00 5.65979380e-01 4.28131406e-01 4.66133682e-02 0.00000000e+00 0.00000000e+00 5.53829887e-01 9.45800689e-01 0.00000000e+00]
10500,[0.062581   0.56761028 0.21502589 0.0228197  0.23275898 0. 0.01744599 0.         0.15799014 0.44727967 0.86178938 0. 0.         0.73252791 0.97681586 0.        ]
11000,[3.19873588e-01 9.36284208e-03 4.00014566e-03 5.66115452e-03 3.41434157e-01 0.00000000e+00 9.01215327e-07 0.00000000e+00 1.63063161e-01 6.52913658e-01 3.78494872e-02 0.00000000e+00 0.00000000e+00 9.22137727e-01 9.91103681e-01 0.00000000e+00]
11500,[0.40826335 0.28798098 0.07915063 0.01552121 0.52488855 0. 0.03573032 0.         0.6932574  0.19675903 0.85767225 0. 0.         0.76219103 0.99426397 0.        ]
12000,[3.09360139e-02 2.26960841e-02 3.55807011e-03 3.74938367e-03 3.00060626e-02 0.00000000e+00 2.16380690e-05 0.00000000e+00 2.11824234e-02 7.35603329e-02 2.18536748e-04 0.00000000e+00 0.00000000e+00 5.53487972e-01 8.56928073e-01 0.00000000e+00]
12500,[0.0308082  0.0111896  0.01183582 0.00552687 0.05947175 0. 0.11017476 0.         0.36785597 0.6011026  0.82482264 0. 0.         0.49087784 0.99497144 0.        ]
13000,[0.08525243 0.0648821  0.05929112 0.02295857 0.09331717 0. 0.03749647 0.         0.4394866  0.77925781 0.09124731 0. 0.         0.92353953 0.9940571  0.        ]
13500,[0.12557503 0.33988208 0.08534096 0.04003662 0.26488574 0. 0.12196822 0.         0.52102924 0.4572551  0.66447274 0. 0.         0.82898982 0.9864877  0.        ]
14000,[7.68411052e-02 7.64434670e-02 4.05091627e-02 2.46933646e-02 1.00979790e-01 0.00000000e+00 6.12553625e-04 0.00000000e+00 2.86245921e-01 7.82956067e-02 1.08104433e-02 0.00000000e+00 0.00000000e+00 8.40181522e-01 9.91280578e-01 0.00000000e+00]
14500,[0.04465615 0.05264144 0.04596768 0.03264926 0.47161121 0. 0.04315119 0.         0.48836943 0.7556041  0.0615885  0. 0.         0.91491148 0.99821314 0.        ]
15000,[0.30103957 0.14424654 0.0186122  0.01709209 0.33386072 0. 0.00211362 0.         0.18653493 0.81067279 0.10359933 0. 0.         0.76568838 0.99975264 0.        ]
15500,[0.33464137 0.00606539 0.003407   0.00284705 0.33855311 0. 0.00282814 0.         0.19596302 0.69354393 0.9254131  0. 0.         0.73812663 0.99976995 0.        ]
16000,[0.01520916 0.01473866 0.00448748 0.00391271 0.01491481 0. 0.01579186 0.         0.01598729 0.7226015  0.22567121 0. 0.         0.29859583 0.89377408 0.        ]
16500,[0.47443529 0.19292729 0.05983355 0.03351444 0.57139151 0. 0.25176199 0.         0.55204156 0.70824296 0.92821224 0. 0.         0.90466519 0.99992355 0.        ]
17000,[0.2248715  0.1507925  0.13315028 0.03900285 0.13882907 0. 0.1676031  0.         0.50889884 0.54717574 0.13486373 0. 0.         0.15977754 0.12180529 0.        ]
17500,[0.1335648  0.17391313 0.1507339  0.01421012 0.13356151 0. 0.628276   0.         0.23084394 0.59794867 0.50453028 0. 0.         0.55110885 0.9547129  0.        ]
18000,[0.13629871 0.10526123 0.04617849 0.02347771 0.46727952 0. 0.02006287 0.         0.68871957 0.32024833 0.08013441 0. 0.         0.82124161 0.98468372 0.        ]
18500,[1.91398249e-02 1.84663395e-02 3.10126787e-03 2.71815125e-03 1.96980918e-02 0.00000000e+00 5.35994327e-06 0.00000000e+00 1.25033887e-01 7.30147870e-01 5.09381324e-01 0.00000000e+00 0.00000000e+00 1.18746847e-01 9.47470545e-01 0.00000000e+00]
19000,[0.20003317 0.32329073 0.17178317 0.06233749 0.20524256 0. 0.03138616 0.         0.25690345 0.57444409 0.91216225 0. 0.         0.87495007 0.99929696 0.        ]
19500,[0.36396452 0.44325364 0.10169777 0.02397552 0.41385797 0. 0.07480392 0.         0.51382426 0.63446319 0.90152739 0. 0.         0.70403541 0.99310852 0.        ]
20000,[0.06032772 0.01060002 0.00940749 0.00334495 0.37475264 0. 0.07865281 0.         0.30365775 0.63865445 0.751313   0. 0.         0.60101749 0.9653779  0.        ]
20500,[0.04316436 0.00989299 0.00420655 0.01387811 0.56081277 0. 0.7366966  0.         0.74018194 0.87163688 0.79516564 0. 0.         0.86553228 0.99024195 0.        ]
21000,[5.52285902e-02 5.01817351e-02 2.57848275e-02 1.00450951e-02 7.90571191e-02 0.00000000e+00 1.26395977e-03 0.00000000e+00 7.36469227e-02 1.47445819e-02 8.29335214e-04 0.00000000e+00 0.00000000e+00 7.83860402e-01 9.90796862e-01 0.00000000e+00]
21500,[0.16637238 0.28930763 0.02633387 0.01779298 0.16036107 0. 0.00099974 0.         0.14976017 0.71235306 0.84695376 0. 0.         0.93312005 0.99943762 0.        ]
22000,[0.19941346 0.14059838 0.37234568 0.0646971  0.33383381 0. 0.0657216  0.         0.51661412 0.74795412 0.76548334 0. 0.         0.91897375 0.9984446  0.        ]
22500,[0.12867054 0.24373502 0.25028208 0.08253194 0.20215506 0. 0.02609441 0.         0.14223691 0.05654628 0.85273045 0. 0.         0.50240312 0.99915607 0.        ]
23000,[0.43815381 0.38942185 0.17839859 0.02713137 0.4338197  0. 0.06163988 0.         0.60930895 0.49933039 0.85206148 0. 0.         0.70672262 0.99753239 0.        ]
23500,[4.73155541e-02 3.19483857e-02 1.33968163e-02 8.89225004e-03 4.47847586e-01 0.00000000e+00 2.49588692e-04 0.00000000e+00 1.75600259e-01 7.52278413e-01 8.65389681e-01 0.00000000e+00 0.00000000e+00 9.36765317e-01 9.99470491e-01 0.00000000e+00]
24000,[0.3417     0.48105352 0.25240129 0.00545187 0.38232171 0. 0.00913707 0.         0.27505685 0.60040049 0.05248672 0. 0.         0.82609768 0.98618362 0.        ]
24500,[0.04678608 0.02545396 0.01273481 0.0126205  0.4041057  0. 0.64818277 0.         0.53823046 0.37587582 0.90654468 0. 0.         0.73483232 0.97677245 0.        ]
25000,[0.13773052 0.02466189 0.0382764  0.01510943 0.14705993 0. 0.00569421 0.         0.07601737 0.11713892 0.05485735 0. 0.         0.33921083 0.48998721 0.        ]
25500,[0.20762524 0.21097169 0.05509498 0.0435795  0.16113615 0. 0.01978379 0.         0.41804972 0.49671678 0.89088518 0. 0.         0.74803638 0.97851358 0.        ]
26000,[1.62793258e-02 3.82421420e-02 1.55510989e-02 1.04244032e-02 7.31574529e-02 0.00000000e+00 1.69025652e-04 0.00000000e+00 2.41018025e-01 4.73983741e-01 5.82461446e-01 0.00000000e+00 0.00000000e+00 7.91814193e-01 9.86469733e-01 0.00000000e+00]
26500,[0.07218682 0.09135198 0.01820074 0.01868455 0.44617434 0. 0.24914256 0.         0.66299184 0.14893702 0.82684904 0. 0.         0.1988708  0.99330084 0.        ]
27000,[0.34631219 0.13498828 0.06397693 0.04486101 0.20622286 0. 0.08220258 0.         0.65384467 0.22433203 0.72445561 0. 0.         0.85854596 0.99836219 0.        ]
27500,[0.14190348 0.09887576 0.08095412 0.03231808 0.21929059 0. 0.05406518 0.         0.15666391 0.06149066 0.14751464 0. 0.         0.22616871 0.91708053 0.        ]
28000,[0.31472168 0.1532396  0.03516708 0.0204992  0.34822533 0. 0.07626977 0.         0.39651587 0.42283675 0.09745292 0. 0.         0.59542403 0.68831764 0.        ]
28500,[1.00247512e-01 2.47968822e-02 1.10454135e-02 1.10912336e-02 1.30265422e-01 0.00000000e+00 1.25325561e-04 0.00000000e+00 5.89061521e-02 6.80786373e-02 9.69910839e-03 0.00000000e+00 0.00000000e+00 8.94780907e-02 9.09671580e-01 0.00000000e+00]
29000,[0.12000473 0.02023016 0.00832937 0.00547952 0.33167145 0. 0.06104453 0.         0.69477687 0.80361525 0.0838109  0. 0.         0.64302456 0.71940098 0.        ]
29500,[0.2813604  0.56943826 0.12281798 0.04502167 0.23571396 0. 0.11945804 0.         0.37322145 0.51370201 0.13542473 0. 0.         0.88450572 0.9972205  0.        ]
30000,[0.11739591 0.17625347 0.13080426 0.01658107 0.15570617 0. 0.11633134 0.         0.16748537 0.61985917 0.05799718 0. 0.         0.91619144 0.99446985 0.        ]
30500,[0.11525166 0.06804881 0.06489051 0.01888777 0.35261597 0. 0.0928511  0.         0.35695091 0.05658948 0.03954363 0. 0.         0.66528803 0.97334937 0.        ]
31000,[0.24870251 0.19053057 0.00544768 0.00439705 0.43261176 0. 0.08177352 0.         0.64779417 0.54615368 0.91086771 0. 0.         0.94645887 0.99548802 0.        ]
31500,[0.14420519 0.07118497 0.06704209 0.0140435  0.4849449  0. 0.050263   0.         0.58125117 0.76303808 0.93272079 0. 0.         0.85235424 0.98479326 0.        ]
32000,[2.19936400e-01 2.98046843e-01 3.21971238e-02 6.10388318e-03 1.70553074e-01 0.00000000e+00 3.17177533e-04 0.00000000e+00 7.66463450e-01 4.52056444e-01 1.30149043e-02 0.00000000e+00 0.00000000e+00 7.96260827e-01 9.98781783e-01 0.00000000e+00]
32500,[2.56228963e-01 2.39187230e-01 3.83393728e-03 2.99225230e-03 2.72933438e-01 0.00000000e+00 8.60721370e-05 0.00000000e+00 1.11019855e-01 7.22983520e-01 8.43825598e-02 0.00000000e+00 0.00000000e+00 6.80051162e-01 9.97734493e-01 0.00000000e+00]
33000,[0.46442073 0.26197869 0.15552071 0.00947487 0.53376639 0. 0.09057609 0.         0.24780054 0.63478024 0.69372555 0. 0.         0.81663027 0.97244585 0.        ]
33500,[3.33375720e-02 2.36160983e-01 4.12282939e-02 1.71454101e-02 1.03697464e-01 0.00000000e+00 2.85831484e-07 0.00000000e+00 7.40591085e-02 7.73346255e-01 6.01756642e-01 0.00000000e+00 0.00000000e+00 6.27007002e-01 9.60698579e-01 0.00000000e+00]
34000,[3.98807516e-01 2.57987927e-01 5.72992745e-02 1.08658164e-02 5.59692701e-01 0.00000000e+00 8.13415910e-06 0.00000000e+00 5.34796939e-01 1.59318395e-01 8.56466764e-01 0.00000000e+00 0.00000000e+00 8.70948605e-01 9.90799791e-01 0.00000000e+00]
34500,[0.03080703 0.01776648 0.01421719 0.0139637  0.01502339 0. 0.03040866 0.         0.02544465 0.31639353 0.70688229 0. 0.         0.27360516 0.97873956 0.        ]
35000,[0.00499756 0.00424881 0.06577679 0.0035397  0.03328025 0. 0.00765144 0.         0.38863442 0.75951154 0.70367328 0. 0.         0.85317756 0.89860737 0.        ]
35500,[0.20082156 0.41435669 0.11665286 0.02614423 0.51539355 0. 0.03088709 0.         0.56506873 0.6548604  0.24274768 0. 0.         0.91443357 0.99896846 0.        ]
36000,[0.15040565 0.15668251 0.03464882 0.01111761 0.16658357 0. 0.05820145 0.         0.36237567 0.31405932 0.83390872 0. 0.         0.36970443 0.93755711 0.        ]
36500,[0.23924914 0.10211916 0.10082747 0.02162168 0.11942524 0. 0.0115167  0.         0.04296123 0.01938241 0.81098856 0. 0.         0.45391729 0.99472953 0.        ]
37000,[0.11493141 0.25281873 0.04866908 0.00545169 0.22690749 0. 0.00431907 0.         0.13613236 0.08974906 0.21217497 0. 0.         0.48725206 0.92323178 0.        ]
37500,[0.0521044  0.00429197 0.00472405 0.04900343 0.37072535 0. 0.59965548 0.         0.40216895 0.59516187 0.90613191 0. 0.         0.145664   0.84749683 0.        ]
38000,[0.18256045 0.01048517 0.10869589 0.00568643 0.367153   0. 0.00698929 0.         0.56414106 0.6986852  0.13259553 0. 0.         0.76046918 0.99983475 0.        ]
38500,[0.09943619 0.01566116 0.01550293 0.00978932 0.4175309  0. 0.00104806 0.         0.43367128 0.1713301  0.02382218 0. 0.         0.79450803 0.98317334 0.        ]
39000,[7.66881303e-03 8.17675985e-03 8.14251170e-03 2.68680106e-02 3.98438718e-03 0.00000000e+00 9.91702615e-06 0.00000000e+00 3.78538157e-03 6.19359047e-02 1.38205301e-03 0.00000000e+00 0.00000000e+00 8.33400881e-01 9.96628550e-01 0.00000000e+00]
39500,[3.67760447e-03 3.98547057e-03 4.68283999e-03 6.81584183e-03 1.41748196e-03 0.00000000e+00 2.55808830e-07 0.00000000e+00 1.38647089e-03 2.99932316e-02 9.11376379e-05 0.00000000e+00 0.00000000e+00 3.06937985e-01 6.23316656e-01 0.00000000e+00]
40000,[2.33199273e-02 9.12467829e-02 1.30776956e-02 9.28985277e-03 2.14193011e-01 0.00000000e+00 3.74881921e-07 0.00000000e+00 2.47664263e-02 2.87540355e-02 8.93947745e-05 0.00000000e+00 0.00000000e+00 5.46803852e-01 8.64749456e-01 0.00000000e+00]
40013,[0.31075307 0.0086575  0.00900175 0.00399152 0.18551799 0. 0.00101678 0.         0.59831757 0.72896609 0.07820958 0. 0.         0.72547923 0.88553565 0.        ]
