iterations,policies
500,[1. 3. 1. 3. 0. 0. 2. 0. 3. 3. 1. 0. 0. 2. 1. 0.]
1000,[3. 3. 0. 3. 1. 0. 2. 0. 2. 2. 0. 0. 0. 2. 2. 0.]
1500,[0. 0. 3. 2. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
2000,[0. 3. 1. 3. 0. 0. 0. 0. 2. 1. 1. 0. 0. 2. 1. 0.]
2500,[0. 1. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
3000,[3. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
3500,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
4000,[1. 2. 0. 3. 0. 0. 2. 0. 3. 2. 0. 0. 0. 3. 3. 0.]
4500,[3. 3. 3. 3. 0. 0. 2. 0. 2. 2. 0. 0. 0. 2. 1. 0.]
5000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
5500,[1. 3. 3. 3. 0. 0. 3. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
6000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 2. 0. 0. 0. 2. 1. 0.]
6500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
7000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
7500,[2. 3. 3. 3. 0. 0. 0. 0. 3. 3. 0. 0. 0. 2. 1. 0.]
8000,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 1. 1. 0.]
8500,[2. 3. 0. 3. 0. 0. 0. 0. 3. 3. 0. 0. 0. 2. 1. 0.]
9000,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
9500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 2. 0. 0. 0. 2. 3. 0.]
10000,[1. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
10500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
11000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
11500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
12000,[0. 3. 1. 3. 0. 0. 1. 0. 1. 2. 1. 0. 0. 2. 1. 0.]
12500,[1. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
13000,[1. 3. 3. 3. 0. 0. 0. 0. 3. 0. 0. 0. 0. 2. 1. 0.]
13500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
14000,[0. 3. 1. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
14500,[0. 3. 1. 0. 0. 0. 0. 0. 3. 2. 1. 0. 0. 2. 1. 0.]
15000,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
15500,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
16000,[1. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
16500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
17000,[3. 3. 3. 3. 0. 0. 2. 0. 2. 0. 0. 0. 0. 2. 2. 0.]
17500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
18000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
18500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
19000,[2. 3. 3. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
19500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
20000,[1. 3. 1. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
20500,[2. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
21000,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
21500,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
22000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
22500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
23000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
23500,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
24000,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
24500,[0. 3. 3. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
25000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
25500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
26000,[3. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
26500,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
27000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 2. 1. 0. 0. 2. 1. 0.]
27500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
28000,[0. 3. 2. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
28500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
29000,[0. 3. 1. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
29500,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
30000,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
30500,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
31000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
31500,[2. 1. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
32000,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
32500,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
33000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 2. 0. 0. 0. 2. 1. 0.]
33500,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
34000,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 2. 0. 0. 2. 1. 0.]
34500,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
35000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 2. 1. 0. 0. 2. 1. 0.]
35500,[0. 3. 3. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
36000,[3. 3. 0. 3. 0. 0. 2. 0. 3. 0. 0. 0. 0. 2. 1. 0.]
36500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
37000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
37500,[2. 3. 1. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
38000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
38500,[0. 3. 1. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
39000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
39500,[0. 1. 2. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
40000,[0. 3. 2. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
40003,[0. 3. 2. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
